Dates,Case
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,4
2020-03-08,7
2020-03-09,9
2020-03-10,9
2020-03-11,13
2020-03-12,13
2020-03-13,19
2020-03-14,30
2020-03-15,32
2020-03-16,39
2020-03-17,50
2020-03-18,58
2020-03-19,73
2020-03-20,85
2020-03-21,103
2020-03-22,131
2020-03-23,167
2020-03-24,187
2020-03-25,226
2020-03-26,261
2020-03-27,300
2020-03-28,343
2020-03-29,408
2020-03-30,447
2020-03-31,492
2020-04-01,525
2020-04-02,585
2020-04-03,623
2020-04-04,678
2020-04-05,733
2020-04-06,744
2020-04-07,817
2020-04-08,895
2020-04-09,980
2020-04-10,1190
2020-04-11,1310
2020-04-12,1410
2020-04-13,1458
2020-04-14,1512
2020-04-15,1579
2020-04-16,1652
2020-04-17,1763
2020-04-18,1834
2020-04-19,1916
2020-04-20,1984
2020-04-21,2098
2020-04-22,2168
2020-04-23,2284
2020-04-24,2443
2020-04-25,2443
2020-04-26,2500
2020-04-27,2583
2020-04-28,2649
2020-04-29,2727
2020-04-30,2775
2020-05-01,2863
2020-05-02,2942
2020-05-03,2998
2020-05-04,3035
2020-05-05,3065
2020-05-06,3111
2020-05-07,3150
2020-05-08,3178
2020-05-09,3213
2020-05-10,3263
2020-05-11,3284
2020-05-12,3313
2020-05-13,3341
2020-05-14,3380
2020-05-15,3417
2020-05-16,3473
2020-05-17,3509
2020-05-18,3535
2020-05-19,3556
2020-05-20,3598
2020-05-21,3641
2020-05-22,3678
2020-05-23,3713
2020-05-24,3741
2020-05-25,3756
2020-05-26,3771
2020-05-27,3793
2020-05-28,3816
2020-05-29,3841
2020-05-30,3867
2020-05-31,3876
2020-06-01,3892
2020-06-02,3921
2020-06-03,3931
2020-06-04,3954
2020-06-05,3970
2020-06-06,3990
2020-06-07,4008
2020-06-08,4014
2020-06-09,4017
2020-06-10,4027
2020-06-11,4039
2020-06-12,4053
2020-06-13,4064
2020-06-14,4069
2020-06-15,4076
2020-06-16,4077
2020-06-17,4078
2020-06-18,4079
2020-06-19,4081
2020-06-20,4086
2020-06-21,4094
2020-06-22,4102
2020-06-23,4107
2020-06-24,4114
2020-06-25,4123
2020-06-26,4127
2020-06-27,4138
2020-06-28,4142
