Dates,Hosp
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,127
2020-02-25,149
2020-02-26,164
2020-02-27,304
2020-02-28,409
2020-02-29,506
2020-03-01,779
2020-03-02,908
2020-03-03,1263
2020-03-04,1641
2020-03-05,2141
2020-03-06,2856
2020-03-07,3218
2020-03-08,4207
2020-03-09,5049
2020-03-10,5915
2020-03-11,6866
2020-03-12,7803
2020-03-13,8754
2020-03-14,9890
2020-03-15,11335
2020-03-16,12876
2020-03-17,14954
2020-03-18,16620
2020-03-19,18255
2020-03-20,18675
2020-03-21,20565
2020-03-22,22855
2020-03-23,23896
2020-03-24,25333
2020-03-25,26601
2020-03-26,28365
2020-03-27,29761
2020-03-28,30532
2020-03-29,31292
2020-03-30,31776
2020-03-31,32215
2020-04-01,32438
2020-04-02,32593
2020-04-03,32809
2020-04-04,33004
2020-04-05,32926
2020-04-06,32874
2020-04-07,32510
2020-04-08,32178
2020-04-09,32004
2020-04-10,31739
2020-04-11,31525
2020-04-12,31190
2020-04-13,31283
2020-04-14,31197
2020-04-15,30722
2020-04-16,29829
2020-04-17,28598
2020-04-18,27740
2020-04-19,27668
2020-04-20,27479
2020-04-21,26605
2020-04-22,26189
2020-04-23,25138
2020-04-24,24241
2020-04-25,23635
2020-04-26,23381
2020-04-27,22309
2020-04-28,21586
2020-04-29,21005
2020-04-30,19843
2020-05-01,19147
2020-05-02,18896
2020-05-03,18743
2020-05-04,18302
2020-05-05,17697
2020-05-06,17102
2020-05-07,16485
2020-05-08,15804
2020-05-09,14868
2020-05-10,14645
2020-05-11,14538
2020-05-12,13817
2020-05-13,13065
2020-05-14,12308
2020-05-15,11600
2020-05-16,11175
2020-05-17,11073
2020-05-18,10956
2020-05-19,10707
2020-05-20,10300
2020-05-21,9909
2020-05-22,9552
2020-05-23,9267
2020-05-24,9166
2020-05-25,8726
2020-05-26,8438
2020-05-27,8234
2020-05-28,7868
2020-05-29,7569
