date,open
2021-03-22,120.33
2021-03-19,119.90
2021-03-18,122.88
2021-03-17,124.05
2021-03-16,125.70
2021-03-15,121.41
2021-03-12,120.40
2021-03-11,122.54
2021-03-10,121.69
2021-03-09,119.03
2021-03-08,120.93
2021-03-05,120.98
2021-03-04,121.75
2021-03-03,124.81
2021-03-02,128.41
2021-03-01,123.75
2021-02-26,122.59
2021-02-25,124.68
2021-02-24,124.94
2021-02-23,123.76
2021-02-22,128.01
2021-02-19,130.24
2021-02-18,129.20
2021-02-17,131.25
2021-02-16,135.49
2021-02-12,134.35
2021-02-11,135.90
2021-02-10,136.48
2021-02-09,136.62
2021-02-08,136.03
2021-02-05,137.35
2021-02-04,136.30
2021-02-03,135.76
2021-02-02,135.73
2021-02-01,133.75
2021-01-29,135.83
2021-01-28,139.52
2021-01-27,143.43
2021-01-26,143.60
2021-01-25,143.07
2021-01-22,136.28
2021-01-21,133.80
2021-01-20,128.66
2021-01-19,127.78
2021-01-15,128.78
2021-01-14,130.80
2021-01-13,128.76
2021-01-12,128.50
2021-01-11,129.19
2021-01-08,132.43
2021-01-07,128.36
2021-01-06,127.72
2021-01-05,128.89
2021-01-04,133.52
2020-12-31,134.08
2020-12-30,135.58
2020-12-29,138.05
2020-12-28,133.99
2020-12-24,131.32
2020-12-23,132.16
2020-12-22,131.61
2020-12-21,125.02
2020-12-18,128.96
2020-12-17,128.90
2020-12-16,127.41
2020-12-15,124.34
2020-12-14,122.60
2020-12-11,122.43
2020-12-10,120.50
2020-12-09,124.53
2020-12-08,124.37
2020-12-07,122.31
2020-12-04,122.60
2020-12-03,123.52
2020-12-02,122.02
2020-12-01,121.01
2020-11-30,116.97
2020-11-27,116.57
2020-11-25,115.55
2020-11-24,113.91
2020-11-23,117.18
2020-11-20,118.64
2020-11-19,117.59
2020-11-18,118.61
2020-11-17,119.55
2020-11-16,118.92
2020-11-13,119.44
2020-11-12,119.62
2020-11-11,117.19
2020-11-10,115.55
2020-11-09,120.50
2020-11-06,118.32
2020-11-05,117.95
2020-11-04,114.14
2020-11-03,109.66
2020-11-02,109.11
2020-10-30,111.06
2020-10-29,112.37
2020-10-28,115.05
2020-10-27,115.49
2020-10-26,114.01
2020-10-23,116.39
2020-10-22,117.45
2020-10-21,116.67
2020-10-20,116.20
2020-10-19,119.96
2020-10-16,121.28
2020-10-15,118.72
2020-10-14,121.00
2020-10-13,125.27
2020-10-12,120.06
2020-10-09,115.28
2020-10-08,116.25
2020-10-07,114.62
2020-10-06,115.70
2020-10-05,113.91
2020-10-02,112.89
2020-10-01,117.64
2020-09-30,113.79
2020-09-29,114.55
2020-09-28,115.01
2020-09-25,108.43
2020-09-24,105.17
2020-09-23,111.62
2020-09-22,112.68
2020-09-21,104.54
2020-09-18,110.40
2020-09-17,109.72
2020-09-16,115.23
2020-09-15,118.33
2020-09-14,114.72
2020-09-11,114.57
2020-09-10,120.36
2020-09-09,117.26
2020-09-08,113.95
2020-09-04,120.07
2020-09-03,126.91
2020-09-02,137.59
2020-09-01,132.76
2020-08-31,127.58
2020-08-28,126.01
2020-08-27,127.14
2020-08-26,126.18
2020-08-25,124.70
2020-08-24,128.70
2020-08-21,119.26
2020-08-20,115.75
2020-08-19,115.98
2020-08-18,114.35
2020-08-17,116.06
2020-08-14,114.83
2020-08-13,114.43
2020-08-12,110.50
2020-08-11,111.97
2020-08-10,112.60
2020-08-07,113.21
2020-08-06,110.40
2020-08-05,109.38
2020-08-04,109.13
2020-08-03,108.20
2020-07-31,102.89
2020-07-30,94.19
2020-07-29,93.75
2020-07-28,94.37
2020-07-27,93.71
2020-07-24,90.99
2020-07-23,97.00
2020-07-22,96.69
2020-07-21,99.17
2020-07-20,96.42
2020-07-17,96.99
2020-07-16,96.56
2020-07-15,98.99
2020-07-14,94.84
2020-07-13,97.26
2020-07-10,95.33
2020-07-09,96.26
2020-07-08,94.18
2020-07-07,93.85
2020-07-06,92.50
2020-07-02,91.96
2020-07-01,91.28
2020-06-30,90.02
2020-06-29,88.31
2020-06-26,91.10
2020-06-25,90.18
2020-06-24,91.25
2020-06-23,91.00
2020-06-22,87.83
2020-06-19,88.66
2020-06-18,87.85
2020-06-17,88.79
2020-06-16,87.86
2020-06-15,83.31
2020-06-12,86.18
2020-06-11,87.33
2020-06-10,86.97
2020-06-09,83.04
2020-06-08,82.56
2020-06-05,80.84
2020-06-04,81.10
2020-06-03,81.17
2020-06-02,80.19
2020-06-01,79.44
2020-05-29,79.81
2020-05-28,79.19
2020-05-27,79.04
2020-05-26,80.88
2020-05-22,78.94
2020-05-21,79.67
2020-05-20,79.17
2020-05-19,78.76
2020-05-18,78.29
2020-05-15,75.09
2020-05-14,76.13
2020-05-13,78.04
2020-05-12,79.46
2020-05-11,77.03
2020-05-08,76.41
2020-05-07,75.81
2020-05-06,75.11
2020-05-05,73.76
2020-05-04,72.29
2020-05-01,71.56
2020-04-30,72.49
2020-04-29,71.18
2020-04-28,71.27
2020-04-27,70.45
2020-04-24,69.30
2020-04-23,68.97
2020-04-22,68.40
2020-04-21,69.07
2020-04-20,69.49
2020-04-17,71.17
2020-04-16,71.85
2020-04-15,70.60
2020-04-14,70.00
2020-04-13,67.08
2020-04-09,67.18
2020-04-08,65.68
2020-04-07,67.70
2020-04-06,62.72
2020-04-03,60.70
2020-04-02,60.08
2020-04-01,61.62
2020-03-31,63.90
2020-03-30,62.69
2020-03-27,63.19
2020-03-26,61.63
2020-03-25,62.69
2020-03-24,59.09
2020-03-23,57.02
