date,high
2021-03-22,128.50
2021-03-19,130.02
2021-03-18,128.94
2021-03-17,128.46
2021-03-16,128.28
2021-03-15,127.77
2021-03-12,127.19
2021-03-11,128.09
2021-03-10,125.05
2021-03-09,125.40
2021-03-08,122.99
2021-03-05,120.64
2021-03-04,122.00
2021-03-03,120.50
2021-03-02,120.74
2021-03-01,120.35
2021-02-26,122.25
2021-02-25,123.37
2021-02-24,120.80
2021-02-23,120.92
2021-02-22,118.50
2021-02-19,120.75
2021-02-18,120.50
2021-02-17,119.27
2021-02-16,120.15
2021-02-12,121.00
2021-02-11,122.00
2021-02-10,123.03
2021-02-09,121.90
2021-02-08,122.62
2021-02-05,121.00
2021-02-04,119.91
2021-02-03,119.04
2021-02-02,119.36
2021-02-01,119.90
2021-01-29,120.22
2021-01-28,122.80
2021-01-27,122.08
2021-01-26,119.18
2021-01-25,118.76
2021-01-22,120.70
2021-01-21,130.12
2021-01-20,129.70
2021-01-19,129.28
2021-01-15,128.28
2021-01-14,128.02
2021-01-13,129.15
2021-01-12,129.09
2021-01-11,127.95
2021-01-08,128.57
2021-01-07,130.04
2021-01-06,126.90
2021-01-05,125.01
2021-01-04,125.85
2020-12-31,124.22
2020-12-30,123.80
2020-12-29,125.35
2020-12-28,125.10
2020-12-24,125.00
2020-12-23,123.88
2020-12-22,123.31
2020-12-21,123.97
2020-12-18,125.59
2020-12-17,126.08
2020-12-16,125.93
2020-12-15,124.39
2020-12-14,125.32
2020-12-11,124.08
2020-12-10,126.35
2020-12-09,125.80
2020-12-08,125.32
2020-12-07,126.49
2020-12-04,123.97
2020-12-03,124.16
2020-12-02,122.85
2020-12-01,123.90
2020-11-30,124.10
2020-11-27,124.20
2020-11-25,122.93
2020-11-24,120.86
2020-11-23,117.43
2020-11-20,117.60
2020-11-19,116.54
2020-11-18,117.72
2020-11-17,117.60
2020-11-16,118.30
2020-11-13,115.19
2020-11-12,115.63
2020-11-11,118.12
2020-11-10,116.69
2020-11-09,117.88
2020-11-06,115.08
2020-11-05,113.30
2020-11-04,112.33
2020-11-03,114.00
2020-11-02,112.65
2020-10-30,107.90
2020-10-29,107.25
2020-10-28,108.66
2020-10-27,112.15
2020-10-26,114.45
2020-10-23,116.50
2020-10-22,115.00
2020-10-21,116.66
2020-10-20,119.80
2020-10-19,126.80
2020-10-16,125.17
2020-10-15,124.08
2020-10-14,125.13
2020-10-13,126.57
2020-10-12,128.07
2020-10-09,132.00
2020-10-08,130.86
2020-10-07,122.67
2020-10-06,122.58
2020-10-05,121.84
2020-10-02,119.04
2020-10-01,122.36
2020-09-30,121.38
2020-09-29,121.41
2020-09-28,120.57
2020-09-25,117.60
2020-09-24,118.10
2020-09-23,120.80
2020-09-22,120.33
2020-09-21,120.48
2020-09-18,124.26
2020-09-17,122.62
2020-09-16,122.71
2020-09-15,122.82
2020-09-14,122.36
2020-09-11,121.39
2020-09-10,122.53
2020-09-09,122.13
2020-09-08,122.16
2020-09-04,124.35
2020-09-03,128.19
2020-09-02,123.72
2020-09-01,122.85
2020-08-31,125.25
2020-08-28,124.96
2020-08-27,124.60
2020-08-26,124.95
2020-08-25,126.00
2020-08-24,123.79
2020-08-21,123.01
2020-08-20,123.20
2020-08-19,124.83
2020-08-18,125.00
2020-08-17,125.25
2020-08-14,124.20
2020-08-13,125.96
2020-08-12,127.61
2020-08-11,128.76
2020-08-10,125.42
2020-08-07,123.50
2020-08-06,125.00
2020-08-05,126.73
2020-08-04,123.82
2020-08-03,123.50
2020-07-31,122.71
2020-07-30,123.71
2020-07-29,124.56
2020-07-28,125.82
2020-07-27,124.86
2020-07-24,126.48
2020-07-23,129.10
2020-07-22,125.90
2020-07-21,131.16
2020-07-20,126.07
2020-07-17,124.39
2020-07-16,122.68
2020-07-15,122.40
2020-07-14,118.62
2020-07-13,119.78
2020-07-10,115.50
2020-07-09,118.00
2020-07-08,118.06
2020-07-07,119.00
2020-07-06,121.25
2020-07-02,119.69
2020-07-01,120.27
2020-06-30,119.19
2020-06-29,117.98
2020-06-26,118.26
2020-06-25,116.76
2020-06-24,118.32
2020-06-23,122.01
2020-06-22,122.12
2020-06-19,126.17
2020-06-18,123.00
2020-06-17,125.83
2020-06-16,125.00
2020-06-15,119.19
2020-06-12,121.25
2020-06-11,126.03
2020-06-10,132.15
2020-06-09,133.52
2020-06-08,132.27
2020-06-05,133.89
2020-06-04,127.78
2020-06-03,127.15
2020-06-02,125.67
2020-06-01,124.64
2020-05-29,123.67
2020-05-28,126.87
2020-05-27,123.94
2020-05-26,121.30
2020-05-22,119.37
2020-05-21,120.99
2020-05-20,120.93
2020-05-19,121.19
2020-05-18,119.88
2020-05-15,115.93
2020-05-14,114.57
2020-05-13,119.95
2020-05-12,123.01
2020-05-11,121.81
2020-05-08,122.67
2020-05-07,122.98
2020-05-06,123.24
2020-05-05,123.39
2020-05-04,120.82
2020-05-01,123.19
2020-04-30,126.52
2020-04-29,128.88
2020-04-28,128.03
2020-04-27,125.56
2020-04-24,122.41
2020-04-23,119.57
2020-04-22,119.87
2020-04-21,114.00
2020-04-20,119.15
2020-04-17,119.30
2020-04-16,119.01
2020-04-15,119.12
2020-04-14,123.46
2020-04-13,121.63
2020-04-09,120.48
2020-04-08,116.31
2020-04-07,118.80
2020-04-06,110.35
2020-04-03,108.92
2020-04-02,105.37
2020-04-01,106.36
2020-03-31,112.00
2020-03-30,108.09
2020-03-27,108.58
2020-03-26,106.91
2020-03-25,105.48
2020-03-24,99.99
2020-03-23,94.60
