date,open
2020-03-23,347.89
2020-03-24,369.99
2020-03-25,361.02
2020-03-26,344.00
2020-03-27,359.09
2020-03-30,363.00
2020-03-31,367.93
2020-04-01,376.05
2020-04-02,364.08
2020-04-03,367.47
2020-04-06,365.22
2020-04-07,380.00
2020-04-08,374.01
2020-04-09,371.06
2020-04-13,371.31
2020-04-14,397.50
2020-04-15,413.00
2020-04-16,437.00
2020-04-17,431.00
2020-04-20,435.17
2020-04-21,444.77
2020-04-22,429.73
2020-04-23,419.26
2020-04-24,425.00
2020-04-27,425.00
2020-04-28,419.99
2020-04-29,399.53
2020-04-30,410.31
2020-05-01,415.10
2020-05-04,417.78
2020-05-05,427.56
2020-05-06,429.30
2020-05-07,436.89
2020-05-08,434.14
2020-05-11,436.33
2020-05-12,442.00
2020-05-13,435.69
2020-05-14,444.90
2020-05-15,440.70
2020-05-18,451.16
2020-05-19,453.40
2020-05-20,454.25
2020-05-21,448.56
2020-05-22,437.00
2020-05-26,427.77
2020-05-27,410.38
2020-05-28,417.24
2020-05-29,417.46
2020-06-01,418.83
2020-06-02,425.87
2020-06-03,426.95
2020-06-04,422.39
2020-06-05,407.29
2020-06-08,416.00
2020-06-09,421.65
2020-06-10,436.00
2020-06-11,428.20
2020-06-12,429.00
2020-06-15,421.40
2020-06-16,425.76
2020-06-17,441.82
2020-06-18,448.73
2020-06-19,449.12
2020-06-22,455.01
2020-06-23,466.50
2020-06-24,468.54
2020-06-25,458.86
2020-06-26,466.39
2020-06-29,445.23
2020-06-30,450.02
2020-07-01,454.00
2020-07-02,485.64
2020-07-06,480.77
2020-07-07,497.31
2020-07-08,498.58
2020-07-09,508.40
2020-07-10,519.73
2020-07-13,567.98
2020-07-14,517.08
2020-07-15,516.30
2020-07-16,526.48
2020-07-17,494.87
2020-07-20,489.14
2020-07-21,506.00
2020-07-22,492.19
2020-07-23,491.13
2020-07-24,468.77
2020-07-27,484.51
2020-07-28,496.02
2020-07-29,492.25
2020-07-30,480.71
2020-07-31,488.29
2020-08-03,490.86
2020-08-04,498.65
2020-08-05,508.68
2020-08-06,504.11
2020-08-07,505.45
2020-08-10,493.35
2020-08-11,479.75
2020-08-12,471.34
2020-08-13,478.40
2020-08-14,482.82
2020-08-17,484.19
2020-08-18,484.35
2020-08-19,493.93
2020-08-20,484.69
2020-08-21,496.46
2020-08-24,495.44
2020-08-25,488.19
2020-08-26,492.50
2020-08-27,537.78
2020-08-28,532.00
2020-08-31,521.16
2020-09-01,532.60
2020-09-02,553.78
2020-09-03,545.00
2020-09-04,520.18
2020-09-08,498.40
2020-09-09,519.21
2020-09-10,503.35
2020-09-11,486.49
2020-09-14,480.62
2020-09-15,484.00
2020-09-16,499.99
2020-09-17,475.16
2020-09-18,472.51
2020-09-21,467.69
2020-09-22,489.01
2020-09-23,491.04
2020-09-24,470.53
2020-09-25,474.39
2020-09-28,489.11
2020-09-29,489.50
2020-09-30,492.57
2020-10-01,506.03
2020-10-02,516.43
2020-10-05,506.80
2020-10-06,518.72
2020-10-07,518.00
2020-10-08,533.48
2020-10-09,537.83
2020-10-12,548.81
2020-10-13,540.56
2020-10-14,562.61
2020-10-15,545.52
2020-10-16,549.50
2020-10-19,537.07
2020-10-20,528.14
2020-10-21,501.03
2020-10-22,494.69
2020-10-23,488.11
2020-10-26,487.03
2020-10-27,490.01
2020-10-28,486.36
2020-10-29,488.50
2020-10-30,502.01
2020-11-02,478.87
2020-11-03,484.93
2020-11-04,495.36
2020-11-05,506.56
2020-11-06,515.00
2020-11-09,485.54
2020-11-10,470.95
2020-11-11,483.00
2020-11-12,491.00
2020-11-13,486.77
2020-11-16,480.00
2020-11-17,480.12
2020-11-18,481.95
2020-11-19,482.00
2020-11-20,485.22
2020-11-23,490.46
2020-11-24,478.84
2020-11-25,485.13
2020-11-27,486.58
2020-11-30,490.08
2020-12-01,492.34
2020-12-02,501.62
2020-12-03,502.99
2020-12-04,497.50
2020-12-07,500.01
2020-12-08,517.90
2020-12-09,510.53
2020-12-10,494.56
2020-12-11,495.00
2020-12-14,505.44
2020-12-15,518.50
2020-12-16,520.11
2020-12-17,529.00
2020-12-18,533.20
2020-12-21,530.05
2020-12-22,527.69
2020-12-23,524.76
2020-12-24,515.12
2020-12-28,516.43
2020-12-29,519.90
2020-12-30,530.13
2020-12-31,525.53
2021-01-04,539.00
2021-01-05,521.55
2021-01-06,511.97
2021-01-07,508.28
2021-01-08,511.31
2021-01-11,507.84
2021-01-12,500.00
2021-01-13,495.50
2021-01-14,507.35
2021-01-15,500.00
2021-01-19,501.00
2021-01-20,565.42
2021-01-21,582.45
2021-01-22,582.10
2021-01-25,567.00
2021-01-26,554.73
2021-01-27,550.71
2021-01-28,535.88
2021-01-29,538.00
2021-02-01,536.79
2021-02-02,542.01
2021-02-03,550.17
2021-02-04,539.81
2021-02-05,552.26
2021-02-08,555.00
2021-02-09,546.00
2021-02-10,562.50
2021-02-11,564.44
2021-02-12,556.94
2021-02-16,557.29
2021-02-17,550.99
2021-02-18,549.00
2021-02-19,548.00
2021-02-22,534.99
2021-02-23,525.00
2021-02-24,539.80
2021-02-25,550.27
2021-02-26,546.51
2021-03-01,545.57
2021-03-02,553.34
2021-03-03,545.93
2021-03-04,521.50
2021-03-05,511.98
2021-03-08,514.46
2021-03-09,507.31
2021-03-10,513.50
2021-03-11,512.20
2021-03-12,512.50
2021-03-15,516.32
2021-03-16,524.47
2021-03-17,522.00
2021-03-18,516.40
2021-03-19,504.96
2021-03-22,509.13
