date,high
2020-03-23,59.00
2020-03-24,58.90
2020-03-25,53.63
2020-03-26,52.00
2020-03-27,54.83
2020-03-30,60.00
2020-03-31,59.86
2020-04-01,56.35
2020-04-02,55.50
2020-04-03,57.98
2020-04-06,55.50
2020-04-07,50.00
2020-04-08,48.10
2020-04-09,52.01
2020-04-13,46.02
2020-04-14,43.82
2020-04-15,40.90
2020-04-16,38.76
2020-04-17,40.30
2020-04-20,41.49
2020-04-21,45.27
2020-04-22,54.44
2020-04-23,58.00
2020-04-24,51.24
2020-04-27,48.89
2020-04-28,48.60
2020-04-29,48.00
2020-04-30,49.21
2020-05-01,46.00
2020-05-04,45.20
2020-05-05,48.41
2020-05-06,50.14
2020-05-07,49.26
2020-05-08,49.16
2020-05-11,49.61
2020-05-12,50.40
2020-05-13,50.50
2020-05-14,48.56
2020-05-15,48.51
2020-05-18,54.74
2020-05-19,57.00
2020-05-20,53.21
2020-05-21,54.10
2020-05-22,52.15
2020-05-26,52.40
2020-05-27,49.53
2020-05-28,48.34
2020-05-29,48.19
2020-06-01,50.00
2020-06-02,51.98
2020-06-03,51.85
2020-06-04,50.45
2020-06-05,49.80
2020-06-08,49.22
2020-06-09,47.80
2020-06-10,47.80
2020-06-11,49.00
2020-06-12,49.37
2020-06-15,48.72
2020-06-16,51.00
2020-06-17,49.75
2020-06-18,49.86
2020-06-19,50.90
2020-06-22,51.95
2020-06-23,55.62
2020-06-24,53.00
2020-06-25,54.51
2020-06-26,56.63
2020-06-29,65.68
2020-06-30,66.16
2020-07-01,77.70
2020-07-02,68.25
2020-07-06,65.59
2020-07-07,64.00
2020-07-08,67.21
2020-07-09,66.61
2020-07-10,67.00
2020-07-13,78.47
2020-07-14,82.57
2020-07-15,86.08
2020-07-16,80.50
2020-07-17,76.54
2020-07-20,91.75
2020-07-21,92.00
2020-07-22,99.19
2020-07-23,97.51
2020-07-24,86.30
2020-07-27,87.44
2020-07-28,89.00
2020-07-29,85.54
2020-07-30,79.05
2020-07-31,86.00
2020-08-03,82.99
2020-08-04,84.44
2020-08-05,82.82
2020-08-06,79.29
2020-08-07,77.09
2020-08-10,77.00
2020-08-11,69.00
2020-08-12,70.89
2020-08-13,68.25
2020-08-14,70.93
2020-08-17,69.09
2020-08-18,69.69
2020-08-19,67.42
2020-08-20,66.08
2020-08-21,71.77
2020-08-24,76.99
2020-08-25,70.07
2020-08-26,70.00
2020-08-27,68.20
2020-08-28,65.04
2020-08-31,62.82
2020-09-01,58.71
2020-09-02,56.01
2020-09-03,63.45
2020-09-04,59.28
2020-09-08,60.16
2020-09-09,63.00
2020-09-10,62.00
2020-09-11,61.45
2020-09-14,67.50
2020-09-15,70.00
2020-09-16,65.51
2020-09-17,66.82
2020-09-18,68.01
2020-09-21,65.56
2020-09-22,65.38
2020-09-23,67.25
2020-09-24,62.62
2020-09-25,61.27
2020-09-28,66.99
2020-09-29,66.60
2020-09-30,67.40
2020-10-01,70.00
2020-10-02,71.85
2020-10-05,75.70
2020-10-06,86.84
2020-10-07,83.32
2020-10-08,85.83
2020-10-09,88.98
2020-10-12,91.00
2020-10-13,90.08
2020-10-14,95.42
2020-10-15,85.65
2020-10-16,93.60
2020-10-19,96.23
2020-10-20,93.92
2020-10-21,92.75
2020-10-22,88.99
2020-10-23,89.61
2020-10-26,88.22
2020-10-27,83.00
2020-10-28,79.89
2020-10-29,81.49
2020-10-30,87.01
2020-11-02,87.90
2020-11-03,84.91
2020-11-04,86.51
2020-11-05,91.33
2020-11-06,92.00
2020-11-09,114.02
2020-11-10,110.00
2020-11-11,112.00
2020-11-12,106.81
2020-11-13,104.12
2020-11-16,96.64
2020-11-17,89.00
2020-11-18,90.80
2020-11-19,91.60
2020-11-20,100.00
2020-11-23,109.73
2020-11-24,100.92
2020-11-25,100.00
2020-11-27,106.44
2020-11-30,113.64
2020-12-01,124.50
2020-12-02,120.85
2020-12-03,119.85
2020-12-04,117.84
2020-12-07,121.00
2020-12-08,127.00
2020-12-09,128.99
2020-12-10,123.82
2020-12-11,130.10
2020-12-14,126.63
2020-12-15,114.21
2020-12-16,112.22
2020-12-17,102.64
2020-12-18,106.46
2020-12-21,107.51
2020-12-22,107.07
2020-12-23,97.12
2020-12-24,98.50
2020-12-28,95.00
2020-12-29,84.45
2020-12-30,90.00
2020-12-31,83.38
2021-01-04,85.45
2021-01-05,87.95
2021-01-06,86.75
2021-01-07,94.00
2021-01-08,98.10
2021-01-11,102.84
2021-01-12,104.97
2021-01-13,103.48
2021-01-14,102.79
2021-01-15,104.25
2021-01-19,101.26
2021-01-20,104.41
2021-01-21,104.00
2021-01-22,104.50
2021-01-25,108.00
2021-01-26,110.28
2021-01-27,105.15
2021-01-28,107.66
2021-01-29,114.94
2021-02-01,117.85
2021-02-02,115.00
2021-02-03,114.21
2021-02-04,117.90
2021-02-05,117.43
2021-02-08,117.61
2021-02-09,119.97
2021-02-10,119.06
2021-02-11,119.00
2021-02-12,118.49
2021-02-16,117.00
2021-02-17,113.11
2021-02-18,108.00
2021-02-19,113.10
2021-02-22,117.45
2021-02-23,110.78
2021-02-24,110.51
2021-02-25,114.87
2021-02-26,113.90
2021-03-01,110.00
2021-03-02,109.86
2021-03-03,104.83
2021-03-04,97.40
2021-03-05,95.68
2021-03-08,94.83
2021-03-09,94.11
2021-03-10,100.79
2021-03-11,100.50
2021-03-12,99.34
2021-03-15,103.99
2021-03-16,109.26
2021-03-17,105.74
2021-03-18,104.39
2021-03-19,104.50
2021-03-22,106.63
