date,open
2021-03-22,144.19
2021-03-19,143.06
2021-03-18,144.45
2021-03-17,150.25
2021-03-16,148.50
2021-03-15,136.77
2021-03-12,134.04
2021-03-11,132.98
2021-03-10,133.62
2021-03-09,127.11
2021-03-08,129.15
2021-03-05,133.07
2021-03-04,128.70
2021-03-03,146.09
2021-03-02,153.50
2021-03-01,154.46
2021-02-26,157.98
2021-02-25,150.78
2021-02-24,150.41
2021-02-23,151.25
2021-02-22,167.80
2021-02-19,173.54
2021-02-18,171.59
2021-02-17,174.28
2021-02-16,182.41
2021-02-12,184.89
2021-02-11,178.29
2021-02-10,182.74
2021-02-09,186.21
2021-02-08,177.00
2021-02-05,170.99
2021-02-04,166.42
2021-02-03,156.60
2021-02-02,158.52
2021-02-01,173.03
2021-01-29,174.99
2021-01-28,154.10
2021-01-27,151.20
2021-01-26,145.15
2021-01-25,138.40
2021-01-22,132.50
2021-01-21,125.28
2021-01-20,124.51
2021-01-19,122.10
2021-01-15,129.60
2021-01-14,122.80
2021-01-13,123.70
2021-01-12,117.93
2021-01-11,112.75
2021-01-08,116.52
2021-01-07,120.10
2021-01-06,111.11
2021-01-05,113.82
2021-01-04,107.23
2020-12-31,110.55
2020-12-30,118.40
2020-12-29,107.80
2020-12-28,120.04
2020-12-24,125.94
2020-12-23,120.05
2020-12-22,139.00
2020-12-21,140.84
2020-12-18,141.51
2020-12-17,137.92
2020-12-16,137.75
2020-12-15,157.00
2020-12-14,163.40
2020-12-11,159.70
2020-12-10,151.13
2020-12-09,170.20
2020-12-08,165.75
2020-12-07,155.03
2020-12-04,157.59
2020-12-03,143.50
2020-12-02,138.63
2020-12-01,177.66
2020-11-30,144.00
2020-11-27,115.12
2020-11-25,99.03
2020-11-24,98.40
2020-11-23,100.77
2020-11-20,95.00
2020-11-19,90.00
2020-11-18,93.87
2020-11-17,97.23
2020-11-16,100.31
2020-11-13,86.62
2020-11-12,85.18
2020-11-11,77.05
2020-11-10,80.00
2020-11-09,77.75
2020-11-06,71.42
2020-11-05,71.09
2020-11-04,68.97
2020-11-03,66.75
2020-11-02,68.02
2020-10-30,70.80
2020-10-29,68.35
2020-10-28,68.95
2020-10-27,70.45
2020-10-26,70.36
2020-10-23,72.30
2020-10-22,68.50
2020-10-21,71.57
2020-10-20,72.07
2020-10-19,73.97
2020-10-16,76.06
2020-10-15,75.48
2020-10-14,80.01
2020-10-13,75.93
2020-10-12,73.61
2020-10-09,73.42
2020-10-08,73.50
2020-10-07,71.23
2020-10-06,72.00
2020-10-05,69.64
2020-10-02,67.90
2020-10-01,69.57
2020-09-30,72.51
2020-09-29,70.46
2020-09-28,69.59
2020-09-25,65.89
2020-09-24,65.50
2020-09-23,67.86
2020-09-22,67.50
2020-09-21,68.60
2020-09-18,68.28
2020-09-17,68.50
2020-09-16,67.64
2020-09-15,65.03
2020-09-14,60.15
2020-09-11,58.49
2020-09-10,57.04
2020-09-09,56.03
2020-09-08,57.75
2020-09-04,64.99
2020-09-03,65.65
2020-09-02,62.84
2020-09-01,63.54
2020-08-31,67.14
2020-08-28,68.04
2020-08-27,69.98
2020-08-26,67.62
2020-08-25,64.32
2020-08-24,67.15
2020-08-21,67.50
2020-08-20,67.79
2020-08-19,66.74
2020-08-18,68.28
2020-08-17,69.14
2020-08-14,68.06
2020-08-13,69.09
2020-08-12,75.67
2020-08-11,69.52
2020-08-10,74.27
2020-08-07,74.38
2020-08-06,75.79
2020-08-05,77.49
2020-08-04,78.19
2020-08-03,74.98
2020-07-31,78.20
2020-07-30,78.00
2020-07-29,81.98
2020-07-28,81.00
2020-07-27,80.63
2020-07-24,69.05
2020-07-23,82.05
2020-07-22,79.61
2020-07-21,80.91
2020-07-20,87.86
2020-07-17,83.35
2020-07-16,80.16
2020-07-15,87.52
2020-07-14,74.00
2020-07-13,63.89
2020-07-10,64.65
2020-07-09,62.09
2020-07-08,60.79
2020-07-07,58.80
2020-07-06,58.55
2020-07-02,60.00
2020-07-01,63.00
2020-06-30,62.18
2020-06-29,61.82
2020-06-26,60.71
2020-06-25,67.00
2020-06-24,63.23
2020-06-23,64.10
2020-06-22,65.92
2020-06-19,64.99
2020-06-18,63.03
2020-06-17,63.60
2020-06-16,66.31
2020-06-15,65.90
2020-06-12,62.35
2020-06-11,62.95
2020-06-10,58.80
2020-06-09,58.55
2020-06-08,58.30
2020-06-05,58.49
2020-06-04,61.61
2020-06-03,57.51
2020-06-02,58.70
2020-06-01,62.76
2020-05-29,57.45
2020-05-28,53.50
2020-05-27,51.20
2020-05-26,66.40
2020-05-22,69.93
2020-05-21,73.05
2020-05-20,70.01
2020-05-19,78.07
2020-05-18,86.14
2020-05-15,63.79
2020-05-14,64.79
2020-05-13,63.80
2020-05-12,65.99
2020-05-11,59.60
2020-05-08,53.06
2020-05-07,55.78
2020-05-06,48.45
2020-05-05,50.48
2020-05-04,48.05
2020-05-01,48.71
2020-04-30,46.78
2020-04-29,46.60
2020-04-28,50.40
2020-04-27,51.53
2020-04-24,47.15
2020-04-23,49.10
2020-04-22,50.61
2020-04-21,53.00
2020-04-20,45.00
2020-04-17,48.99
2020-04-16,38.07
2020-04-15,34.64
2020-04-14,34.00
2020-04-13,32.00
2020-04-09,32.55
2020-04-08,32.36
2020-04-07,33.81
2020-04-06,34.91
2020-04-03,32.81
2020-04-02,30.60
2020-04-01,30.05
2020-03-31,30.60
2020-03-30,30.59
2020-03-27,28.37
2020-03-26,27.56
2020-03-25,25.00
2020-03-24,27.09
2020-03-23,28.71
