date,high
2021-03-22,66.22
2021-03-19,66.79
2021-03-18,66.47
2021-03-17,66.80
2021-03-16,68.00
2021-03-15,66.95
2021-03-12,66.96
2021-03-11,67.65
2021-03-10,73.50
2021-03-09,72.40
2021-03-08,70.47
2021-03-05,67.31
2021-03-04,66.68
2021-03-03,66.25
2021-03-02,66.15
2021-03-01,64.95
2021-02-26,65.54
2021-02-25,64.64
2021-02-24,64.49
2021-02-23,64.42
2021-02-22,62.85
2021-02-19,62.26
2021-02-18,61.81
2021-02-17,61.83
2021-02-16,63.11
2021-02-12,62.32
2021-02-11,63.56
2021-02-10,63.84
2021-02-09,63.08
2021-02-08,63.79
2021-02-05,63.50
2021-02-04,62.48
2021-02-03,62.18
2021-02-02,61.88
2021-02-01,60.92
2021-01-29,61.16
2021-01-28,62.55
2021-01-27,61.40
2021-01-26,61.06
2021-01-25,60.38
2021-01-22,60.94
2021-01-21,61.65
2021-01-20,61.37
2021-01-19,62.10
2021-01-15,61.60
2021-01-14,62.07
2021-01-13,62.32
2021-01-12,63.00
2021-01-11,62.95
2021-01-08,63.18
2021-01-07,62.85
2021-01-06,62.27
2021-01-05,63.68
2021-01-04,64.69
2020-12-31,64.34
2020-12-30,64.80
2020-12-29,65.25
2020-12-28,65.41
2020-12-24,65.05
2020-12-23,65.26
2020-12-22,64.56
2020-12-21,63.89
2020-12-18,63.48
2020-12-17,62.99
2020-12-16,61.87
2020-12-15,61.09
2020-12-14,60.83
2020-12-11,60.94
2020-12-10,59.51
2020-12-09,58.89
2020-12-08,58.99
2020-12-07,59.96
2020-12-04,59.31
2020-12-03,59.22
2020-12-02,58.29
2020-12-01,58.20
2020-11-30,57.61
2020-11-27,57.40
2020-11-25,57.72
2020-11-24,56.60
2020-11-23,55.85
2020-11-20,56.36
2020-11-19,56.09
2020-11-18,57.12
2020-11-17,57.00
2020-11-16,57.02
2020-11-13,56.88
2020-11-12,57.26
2020-11-11,57.06
2020-11-10,56.91
2020-11-09,58.19
2020-11-06,56.77
2020-11-05,57.46
2020-11-04,58.00
2020-11-03,57.00
2020-11-02,56.44
2020-10-30,55.75
2020-10-29,55.20
2020-10-28,56.27
2020-10-27,57.64
2020-10-26,58.10
2020-10-23,59.90
2020-10-22,59.44
2020-10-21,59.34
2020-10-20,59.92
2020-10-19,60.39
2020-10-16,60.71
2020-10-15,60.27
2020-10-14,61.35
2020-10-13,61.57
2020-10-12,61.24
2020-10-09,61.15
2020-10-08,60.79
2020-10-07,59.77
2020-10-06,59.51
2020-10-05,59.44
2020-10-02,58.71
2020-10-01,60.17
2020-09-30,59.52
2020-09-29,59.58
2020-09-28,60.03
2020-09-25,59.27
2020-09-24,58.74
2020-09-23,60.11
2020-09-22,60.38
2020-09-21,62.46
2020-09-18,59.98
2020-09-17,59.42
2020-09-16,61.12
2020-09-15,60.01
2020-09-14,60.86
2020-09-11,60.71
2020-09-10,57.44
2020-09-09,56.16
2020-09-08,55.35
2020-09-04,56.88
2020-09-03,58.72
2020-09-02,57.72
2020-09-01,57.37
2020-08-31,57.13
2020-08-28,57.33
2020-08-27,57.45
2020-08-26,56.34
2020-08-25,56.15
2020-08-24,55.76
2020-08-21,55.38
2020-08-20,55.59
2020-08-19,55.58
2020-08-18,55.62
2020-08-17,54.20
2020-08-14,54.03
2020-08-13,53.91
2020-08-12,54.52
2020-08-11,55.24
2020-08-10,55.24
2020-08-07,55.01
2020-08-06,55.49
2020-08-05,56.32
2020-08-04,55.78
2020-08-03,55.78
2020-07-31,55.00
2020-07-30,55.00
2020-07-29,55.56
2020-07-28,55.25
2020-07-27,55.66
2020-07-24,55.47
2020-07-23,56.00
2020-07-22,55.70
2020-07-21,55.80
2020-07-20,54.88
2020-07-17,56.08
2020-07-16,56.42
2020-07-15,57.42
2020-07-14,56.67
2020-07-13,57.40
2020-07-10,57.47
2020-07-09,56.99
2020-07-08,56.63
2020-07-07,56.35
2020-07-06,56.20
2020-07-02,55.79
2020-07-01,54.69
2020-06-30,54.80
2020-06-29,54.23
2020-06-26,54.35
2020-06-25,54.40
2020-06-24,55.12
2020-06-23,55.30
2020-06-22,54.09
2020-06-19,54.21
2020-06-18,51.60
2020-06-17,53.03
2020-06-16,54.46
2020-06-15,50.96
2020-06-12,52.45
2020-06-11,53.25
2020-06-10,54.50
2020-06-09,55.00
2020-06-08,53.35
2020-06-05,53.09
2020-06-04,53.23
2020-06-03,53.33
2020-06-02,53.24
2020-06-01,53.28
2020-05-29,53.62
2020-05-28,53.76
2020-05-27,53.00
2020-05-26,53.65
2020-05-22,52.34
2020-05-21,52.76
2020-05-20,53.09
2020-05-19,53.18
2020-05-18,53.91
2020-05-15,52.70
2020-05-14,51.14
2020-05-13,52.43
2020-05-12,53.80
2020-05-11,53.13
2020-05-08,53.19
2020-05-07,52.40
2020-05-06,52.43
2020-05-05,52.22
2020-05-04,51.71
2020-05-01,52.38
2020-04-30,53.47
2020-04-29,53.95
2020-04-28,53.90
2020-04-27,53.36
2020-04-24,52.41
2020-04-23,52.23
2020-04-22,52.03
2020-04-21,53.23
2020-04-20,54.05
2020-04-17,54.52
2020-04-16,53.15
2020-04-15,53.21
2020-04-14,53.71
2020-04-13,52.70
2020-04-09,52.24
2020-04-08,50.98
2020-04-07,52.15
2020-04-06,50.40
2020-04-03,49.30
2020-04-02,48.18
2020-04-01,46.55
2020-03-31,51.12
2020-03-30,50.40
2020-03-27,49.09
2020-03-26,46.38
2020-03-25,47.10
2020-03-24,45.33
2020-03-23,45.00
