date,open
2020-03-23,27.29
2020-03-24,28.00
2020-03-25,27.99
2020-03-26,28.36
2020-03-27,29.22
2020-03-30,29.46
2020-03-31,30.74
2020-04-01,30.28
2020-04-02,30.27
2020-04-03,30.96
2020-04-06,32.18
2020-04-07,33.21
2020-04-08,32.25
2020-04-09,33.24
2020-04-13,34.12
2020-04-14,34.09
2020-04-15,34.21
2020-04-16,34.27
2020-04-17,34.63
2020-04-20,34.52
2020-04-21,33.95
2020-04-22,35.07
2020-04-23,34.42
2020-04-24,34.95
2020-04-27,35.66
2020-04-28,37.05
2020-04-29,36.49
2020-04-30,36.05
2020-05-01,35.91
2020-05-04,35.67
2020-05-05,36.82
2020-05-06,36.97
2020-05-07,36.44
2020-05-08,35.34
2020-05-11,35.34
2020-05-12,36.17
2020-05-13,35.40
2020-05-14,34.91
2020-05-15,36.02
2020-05-18,36.38
2020-05-19,35.91
2020-05-20,36.01
2020-05-21,35.65
2020-05-22,35.21
2020-05-26,35.72
2020-05-27,35.49
2020-05-28,35.90
2020-05-29,36.31
2020-06-01,33.68
2020-06-02,33.71
2020-06-03,34.43
2020-06-04,33.88
2020-06-05,34.38
2020-06-08,33.97
2020-06-09,34.63
2020-06-10,34.50
2020-06-11,33.78
2020-06-12,32.33
2020-06-15,31.59
2020-06-16,31.87
2020-06-17,31.87
2020-06-18,31.57
2020-06-19,31.96
2020-06-22,31.62
2020-06-23,31.50
2020-06-24,31.03
2020-06-25,30.46
2020-06-26,30.60
2020-06-29,30.80
2020-06-30,30.86
2020-07-01,32.77
2020-07-02,32.85
2020-07-06,33.16
2020-07-07,32.31
2020-07-08,32.27
2020-07-09,32.00
2020-07-10,31.94
2020-07-13,32.95
2020-07-14,33.56
2020-07-15,34.15
2020-07-16,33.78
2020-07-17,34.02
2020-07-20,35.57
2020-07-21,35.05
2020-07-22,36.27
2020-07-23,37.22
2020-07-24,36.08
2020-07-27,35.45
2020-07-28,36.57
2020-07-29,37.29
2020-07-30,36.32
2020-07-31,36.32
2020-08-03,36.63
2020-08-04,36.35
2020-08-05,36.50
2020-08-06,36.78
2020-08-07,36.34
2020-08-10,36.57
2020-08-11,36.58
2020-08-12,35.89
2020-08-13,36.12
2020-08-14,36.06
2020-08-17,36.09
2020-08-18,36.48
2020-08-19,36.51
2020-08-20,36.22
2020-08-21,36.92
2020-08-24,37.02
2020-08-25,36.54
2020-08-26,36.23
2020-08-27,36.02
2020-08-28,35.93
2020-08-31,35.90
2020-09-01,35.85
2020-09-02,34.89
2020-09-03,35.46
2020-09-04,34.62
2020-09-08,34.66
2020-09-09,34.43
2020-09-10,34.35
2020-09-11,33.91
2020-09-14,34.50
2020-09-15,35.28
2020-09-16,35.37
2020-09-17,34.90
2020-09-18,34.90
2020-09-21,34.51
2020-09-22,33.98
2020-09-23,34.48
2020-09-24,34.11
2020-09-25,33.72
2020-09-28,34.31
2020-09-29,34.56
2020-09-30,34.41
2020-10-01,35.02
2020-10-02,34.21
2020-10-05,34.66
2020-10-06,35.10
2020-10-07,34.40
2020-10-08,34.72
2020-10-09,34.94
2020-10-12,34.82
2020-10-13,34.79
2020-10-14,35.11
2020-10-15,34.75
2020-10-16,35.17
2020-10-19,36.45
2020-10-20,35.93
2020-10-21,35.44
2020-10-22,35.18
2020-10-23,35.99
2020-10-26,35.93
2020-10-27,35.14
2020-10-28,34.91
2020-10-29,33.66
2020-10-30,33.43
2020-11-02,34.09
2020-11-03,34.56
2020-11-04,35.16
2020-11-05,35.34
2020-11-06,34.53
2020-11-09,39.72
2020-11-10,38.38
2020-11-11,36.89
2020-11-12,36.32
2020-11-13,35.93
2020-11-16,35.92
2020-11-17,36.49
2020-11-18,36.93
2020-11-19,36.60
2020-11-20,36.70
2020-11-23,37.03
2020-11-24,36.13
2020-11-25,36.53
2020-11-27,36.78
2020-11-30,37.95
2020-12-01,39.40
2020-12-02,40.47
2020-12-03,40.98
2020-12-04,39.89
2020-12-07,40.66
2020-12-08,41.40
2020-12-09,43.07
2020-12-10,41.82
2020-12-11,41.97
2020-12-14,41.62
2020-12-15,39.06
2020-12-16,38.18
2020-12-17,37.83
2020-12-18,37.99
2020-12-21,37.28
2020-12-22,37.21
2020-12-23,37.01
2020-12-24,37.40
2020-12-28,37.36
2020-12-29,36.90
2020-12-30,37.03
2020-12-31,36.66
2021-01-04,36.87
2021-01-05,36.72
2021-01-06,36.83
2021-01-07,37.04
2021-01-08,37.16
2021-01-11,37.22
2021-01-12,37.70
2021-01-13,37.00
2021-01-14,36.78
2021-01-15,36.68
2021-01-19,36.76
2021-01-20,36.79
2021-01-21,36.39
2021-01-22,36.32
2021-01-25,36.55
2021-01-26,37.27
2021-01-27,36.99
2021-01-28,35.95
2021-01-29,36.88
2021-02-01,35.93
2021-02-02,35.76
2021-02-03,34.99
2021-02-04,34.81
2021-02-05,34.92
2021-02-08,34.96
2021-02-09,34.80
2021-02-10,35.00
2021-02-11,34.80
2021-02-12,34.44
2021-02-16,34.85
2021-02-17,34.57
2021-02-18,34.78
2021-02-19,34.66
2021-02-22,34.33
2021-02-23,34.00
2021-02-24,33.87
2021-02-25,33.82
2021-02-26,33.84
2021-03-01,33.59
2021-03-02,33.68
2021-03-03,33.51
2021-03-04,34.26
2021-03-05,34.29
2021-03-08,34.48
2021-03-09,34.54
2021-03-10,34.64
2021-03-11,35.07
2021-03-12,34.56
2021-03-15,35.01
2021-03-16,35.47
2021-03-17,35.83
2021-03-18,35.53
2021-03-19,35.75
2021-03-22,35.48
