date,high
2020-03-23,21.07
2020-03-24,24.41
2020-03-25,26.18
2020-03-26,26.60
2020-03-27,25.82
2020-03-30,26.33
2020-03-31,27.75
2020-04-01,26.50
2020-04-02,25.01
2020-04-03,23.73
2020-04-06,24.13
2020-04-07,27.95
2020-04-08,26.00
2020-04-09,27.88
2020-04-13,27.04
2020-04-14,28.00
2020-04-15,26.82
2020-04-16,27.21
2020-04-17,28.69
2020-04-20,27.07
2020-04-21,27.50
2020-04-22,27.97
2020-04-23,28.75
2020-04-24,28.51
2020-04-27,29.74
2020-04-28,31.00
2020-04-29,31.00
2020-04-30,30.50
2020-05-01,29.13
2020-05-04,27.56
2020-05-05,28.25
2020-05-06,27.50
2020-05-07,29.60
2020-05-08,32.59
2020-05-11,31.98
2020-05-12,31.42
2020-05-13,32.30
2020-05-14,32.53
2020-05-15,32.26
2020-05-18,33.70
2020-05-19,33.68
2020-05-20,34.12
2020-05-21,34.45
2020-05-22,34.15
2020-05-26,35.97
2020-05-27,34.42
2020-05-28,34.90
2020-05-29,34.18
2020-06-01,35.64
2020-06-02,36.16
2020-06-03,36.20
2020-06-04,36.42
2020-06-05,37.53
2020-06-08,37.87
2020-06-09,36.70
2020-06-10,36.69
2020-06-11,32.63
2020-06-12,32.73
2020-06-15,31.16
2020-06-16,34.00
2020-06-17,33.50
2020-06-18,33.00
2020-06-19,33.98
2020-06-22,32.43
2020-06-23,32.88
2020-06-24,32.75
2020-06-25,30.00
2020-06-26,30.44
2020-06-29,29.51
2020-06-30,30.83
2020-07-01,30.96
2020-07-02,31.02
2020-07-06,33.10
2020-07-07,32.46
2020-07-08,33.21
2020-07-09,34.24
2020-07-10,33.14
2020-07-13,33.21
2020-07-14,31.35
2020-07-15,32.10
2020-07-16,32.05
2020-07-17,32.58
2020-07-20,32.48
2020-07-21,34.16
2020-07-22,32.44
2020-07-23,32.33
2020-07-24,31.74
2020-07-27,31.21
2020-07-28,30.79
2020-07-29,30.92
2020-07-30,30.65
2020-07-31,30.40
2020-08-03,30.24
2020-08-04,31.17
2020-08-05,33.10
2020-08-06,33.27
2020-08-07,33.09
2020-08-10,33.04
2020-08-11,31.66
2020-08-12,31.46
2020-08-13,30.52
2020-08-14,30.40
2020-08-17,30.05
2020-08-18,29.50
2020-08-19,30.15
2020-08-20,29.13
2020-08-21,31.39
2020-08-24,30.97
2020-08-25,31.04
2020-08-26,31.01
2020-08-27,32.40
2020-08-28,33.00
2020-08-31,33.62
2020-09-01,33.45
2020-09-02,34.21
2020-09-03,34.08
2020-09-04,33.33
2020-09-08,32.36
2020-09-09,34.11
2020-09-10,35.20
2020-09-11,36.30
2020-09-14,37.10
2020-09-15,37.95
2020-09-16,37.39
2020-09-17,36.68
2020-09-18,37.15
2020-09-21,35.86
2020-09-22,36.53
2020-09-23,34.45
2020-09-24,33.66
2020-09-25,33.20
2020-09-28,35.80
2020-09-29,35.56
2020-09-30,35.28
2020-10-01,36.86
2020-10-02,36.00
2020-10-05,37.70
2020-10-06,37.17
2020-10-07,36.59
2020-10-08,37.00
2020-10-09,37.91
2020-10-12,37.56
2020-10-13,36.22
2020-10-14,35.69
2020-10-15,34.68
2020-10-16,34.78
2020-10-19,34.16
2020-10-20,34.53
2020-10-21,36.25
2020-10-22,35.42
2020-10-23,36.50
2020-10-26,36.50
2020-10-27,35.51
2020-10-28,33.62
2020-10-29,33.71
2020-10-30,33.91
2020-11-02,34.15
2020-11-03,35.27
2020-11-04,40.66
2020-11-05,40.33
2020-11-06,42.09
2020-11-09,48.01
2020-11-10,46.74
2020-11-11,46.72
2020-11-12,45.39
2020-11-13,47.11
2020-11-16,48.74
2020-11-17,48.72
2020-11-18,48.77
2020-11-19,49.10
2020-11-20,49.98
2020-11-23,48.66
2020-11-24,50.62
2020-11-25,51.27
2020-11-27,50.93
2020-11-30,50.22
2020-12-01,50.00
2020-12-02,49.26
2020-12-03,53.30
2020-12-04,52.71
2020-12-07,54.59
2020-12-08,52.40
2020-12-09,53.98
2020-12-10,52.33
2020-12-11,54.47
2020-12-14,53.27
2020-12-15,52.12
2020-12-16,51.18
2020-12-17,50.59
2020-12-18,50.81
2020-12-21,49.00
2020-12-22,52.11
2020-12-23,53.80
2020-12-24,53.60
2020-12-28,53.02
2020-12-29,52.33
2020-12-30,52.72
2020-12-31,53.28
2021-01-04,52.22
2021-01-05,51.00
2021-01-06,53.31
2021-01-07,53.37
2021-01-08,54.40
2021-01-11,53.11
2021-01-12,55.50
2021-01-13,58.54
2021-01-14,60.00
2021-01-15,57.49
2021-01-19,56.39
2021-01-20,57.00
2021-01-21,56.57
2021-01-22,55.25
2021-01-25,54.50
2021-01-26,54.62
2021-01-27,49.97
2021-01-28,50.12
2021-01-29,50.63
2021-02-01,52.12
2021-02-02,55.11
2021-02-03,57.87
2021-02-04,56.45
2021-02-05,58.16
2021-02-08,59.70
2021-02-09,58.91
2021-02-10,62.00
2021-02-11,63.25
2021-02-12,60.12
2021-02-16,61.02
2021-02-17,60.33
2021-02-18,60.00
2021-02-19,58.36
2021-02-22,57.76
2021-02-23,53.50
2021-02-24,54.95
2021-02-25,54.58
2021-02-26,52.07
2021-03-01,53.67
2021-03-02,55.54
2021-03-03,55.93
2021-03-04,55.75
2021-03-05,54.28
2021-03-08,55.50
2021-03-09,56.00
2021-03-10,57.21
2021-03-11,58.80
2021-03-12,58.97
2021-03-15,60.35
2021-03-16,59.99
2021-03-17,57.07
2021-03-18,56.63
2021-03-19,55.48
2021-03-22,57.25
