Dates,Hosp
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,729
2020-04-17,847
2020-04-18,829
2020-04-19,784
2020-04-20,811
2020-04-21,842
2020-04-22,825
2020-04-23,850
2020-04-24,877
2020-04-25,899
2020-04-26,927
2020-04-27,931
2020-04-28,976
2020-04-29,983
2020-04-30,998
2020-05-01,983
2020-05-02,1008
2020-05-03,1005
2020-05-04,1027
2020-05-05,982
2020-05-06,964
2020-05-07,968
2020-05-08,891
2020-05-09,873
2020-05-10,812
2020-05-11,782
2020-05-12,746
2020-05-13,688
2020-05-14,658
2020-05-15,614
2020-05-16,570
2020-05-17,562
2020-05-18,568
2020-05-19,0
2020-05-20,539
2020-05-21,510
2020-05-22,483
2020-05-23,462
2020-05-24,442
2020-05-25,0
2020-05-26,436
2020-05-27,430
2020-05-28,404
2020-05-29,384
2020-05-30,414
2020-05-31,419
2020-06-01,417
2020-06-02,427
2020-06-03,414
2020-06-04,406
2020-06-05,397
2020-06-06,387
2020-06-07,386
2020-06-08,385
2020-06-09,365
2020-06-10,344
2020-06-11,321
2020-06-12,290
2020-06-13,283
2020-06-14,275
2020-06-15,275
2020-06-16,255
2020-06-17,210
2020-06-18,199
2020-06-19,192
2020-06-20,186
2020-06-21,185
2020-06-22,184
2020-06-23,183
2020-06-24,183
2020-06-25,182
2020-06-26,179
2020-06-27,174
2020-06-28,172
2020-06-29,170
2020-06-30,169
2020-07-01,169
2020-07-02,157
2020-07-03,150
2020-07-04,140
2020-07-05,144
2020-07-06,144
2020-07-07,142
2020-07-08,132
2020-07-09,131
2020-07-10,133
2020-07-11,129
2020-07-12,128
2020-07-13,127
2020-07-14,131
2020-07-15,125
2020-07-16,109
2020-07-17,83
2020-07-18,83
2020-07-19,82
2020-07-20,83
2020-07-21,78
2020-07-22,76
2020-07-23,76
2020-07-24,70
2020-07-25,68
2020-07-26,69
2020-07-27,71
2020-07-28,76
2020-07-29,76
2020-07-30,76
2020-07-31,73
2020-08-01,73
2020-08-02,71
2020-08-03,74
2020-08-04,75
2020-08-05,72
2020-08-06,74
2020-08-07,72
2020-08-08,69
2020-08-09,73
2020-08-10,61
2020-08-11,62
2020-08-12,64
2020-08-13,66
2020-08-14,64
2020-08-15,63
2020-08-16,62
2020-08-17,62
2020-08-18,60
2020-08-19,57
2020-08-20,57
2020-08-21,58
2020-08-22,60
2020-08-23,59
2020-08-24,59
2020-08-25,57
2020-08-26,64
2020-08-27,69
2020-08-28,78
2020-08-29,90
2020-08-30,90
2020-08-31,93
2020-09-01,96
2020-09-02,98
2020-09-03,100
2020-09-04,120
2020-09-05,139
2020-09-06,151
2020-09-07,151
2020-09-08,192
