Dates,Hosp
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,2425
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,2510
2020-04-14,0
2020-04-15,2499
2020-04-16,2607
2020-04-17,2673
2020-04-18,0
2020-04-19,2482
2020-04-20,2511
2020-04-21,2914
2020-04-22,3505
2020-04-23,3099
2020-04-24,3095
2020-04-25,2821
2020-04-26,2749
2020-04-27,2759
2020-04-28,2934
2020-04-29,2973
2020-04-30,3012
2020-05-01,2789
2020-05-02,2649
2020-05-03,2761
2020-05-04,2653
2020-05-05,2738
2020-05-06,2760
2020-05-07,2711
2020-05-08,2758
2020-05-09,2768
2020-05-10,2658
2020-05-11,2598
2020-05-12,2571
2020-05-13,2648
2020-05-14,2538
2020-05-15,2579
2020-05-16,2407
2020-05-17,2459
2020-05-18,2544
2020-05-19,2490
2020-05-20,2414
2020-05-21,2330
2020-05-22,2261
2020-05-23,2271
2020-05-24,2242
2020-05-25,2268
2020-05-26,2171
2020-05-27,2320
2020-05-28,2248
2020-05-29,2035
2020-05-30,2207
2020-05-31,2134
2020-06-01,2181
2020-06-02,2219
2020-06-03,2150
2020-06-04,2102
2020-06-05,2085
2020-06-06,2128
2020-06-07,2007
2020-06-08,1881
2020-06-09,2039
2020-06-10,1993
2020-06-11,0
2020-06-12,1629
2020-06-13,1711
2020-06-14,1748
2020-06-15,1736
2020-06-16,1806
2020-06-17,1693
2020-06-18,1849
2020-06-19,1886
2020-06-20,1931
2020-06-21,1877
2020-06-22,1899
2020-06-23,1936
2020-06-24,1965
2020-06-25,1974
2020-06-26,1933
2020-06-27,1869
2020-06-28,1845
2020-06-29,1797
2020-06-30,1811
2020-07-01,1923
2020-07-02,1787
2020-07-03,1743
2020-07-04,1731
2020-07-05,1765
2020-07-06,1790
2020-07-07,1658
2020-07-08,1683
2020-07-09,1687
2020-07-10,1597
2020-07-11,1617
2020-07-12,1610
2020-07-13,1640
2020-07-14,1581
2020-07-15,1575
2020-07-16,1550
2020-07-17,1604
2020-07-18,1551
2020-07-19,1560
2020-07-20,1575
2020-07-21,1607
2020-07-22,1644
2020-07-23,1626
2020-07-24,1617
2020-07-25,1594
2020-07-26,1601
2020-07-27,1625
2020-07-28,1655
2020-07-29,1687
2020-07-30,1694
2020-07-31,1778
2020-08-01,1841
2020-08-02,1835
2020-08-03,1841
2020-08-04,1859
2020-08-05,1898
2020-08-06,1913
2020-08-07,1928
2020-08-08,1928
2020-08-09,1930
2020-08-10,1929
2020-08-11,1985
2020-08-12,2021
2020-08-13,2059
2020-08-14,2040
2020-08-15,2028
2020-08-16,2035
2020-08-17,2040
2020-08-18,2057
2020-08-19,2097
2020-08-20,2110
2020-08-21,2151
2020-08-22,2189
2020-08-23,2195
2020-08-24,2207
