Date,NCDATA.Positive,NCDATA.Hospitalized
2020-3-4,1,0
2020-3-5,1,0
2020-3-6,2,0
2020-3-7,2,0
2020-3-8,2,0
2020-3-9,2,0
2020-3-10,7,0
2020-3-11,7,0
2020-3-12,12,0
2020-3-13,15,0
2020-3-14,23,0
2020-3-15,32,0
2020-3-16,33,0
2020-3-17,40,0
2020-3-18,63,0
2020-3-19,97,0
2020-3-20,137,0
2020-3-21,184,0
2020-3-22,255,0
2020-3-23,297,0
2020-3-24,398,0
2020-3-25,504,0
2020-3-26,636,0
2020-3-27,763,0
2020-3-28,935,0
2020-3-29,1040,0
2020-3-30,1307,0
2020-3-31,1498,0
2020-4-1,1584,0
2020-4-2,1857,0
2020-4-3,2093,0
2020-4-4,2402,0
2020-4-5,2585,0
2020-4-6,2870,0
2020-4-7,3221,0
2020-4-8,3426,0
2020-4-9,3651,0
2020-4-10,3908,0
2020-4-11,4312,0
2020-4-12,4520,0
2020-4-13,4816,0
2020-4-14,5024,0
2020-4-15,5123,0
2020-4-16,5465,0
2020-4-17,5859,0
2020-4-18,6140,0
2020-4-19,6493,0
2020-4-20,6764,0
2020-4-21,6951,0
2020-4-22,7220,0
2020-4-23,7608,0
2020-4-24,8052,0
2020-4-25,8623,0
2020-4-26,8830,0
2020-4-27,9142,0
2020-4-28,9568,0
2020-4-29,9948,0
2020-4-30,10509,0
2020-5-1,10923,0
2020-5-2,11509,0
2020-5-3,11664,0
2020-5-4,11848,0
2020-5-5,12256,0
2020-5-6,12758,0
2020-5-7,13397,0
2020-5-8,13868,0
2020-5-9,14360,0
2020-5-10,14764,0
2020-5-11,15045,0
2020-5-12,15346,0
2020-5-13,15816,0
2020-5-14,16507,0
2020-5-15,17129,0
2020-5-16,17982,0
2020-5-17,18512,0
2020-5-18,19023,0
2020-5-19,19700,0
2020-5-20,20122,0
2020-5-21,20860,0
2020-5-22,21618,0
2020-5-23,22725,0
2020-5-24,23222,0
2020-5-25,23964,0
2020-5-26,24140,0
2020-5-27,24628,0
2020-5-28,25412,0
2020-5-29,26488,0
2020-5-30,27673,0
2020-5-31,28589,0
2020-6-1,29263,0
