Date,NVDATA.Positive,NVDATA.Negative
2020-3-5,1,14
2020-3-6,3,14
2020-3-7,4,14
2020-3-8,4,14
2020-3-9,5,14
2020-3-10,5,14
2020-3-11,9,168
2020-3-12,12,168
2020-3-13,22,168
2020-3-14,34,168
2020-3-15,45,168
2020-3-16,63,168
2020-3-17,73,168
2020-3-18,78,168
2020-3-19,101,1626
2020-3-20,109,1992
2020-3-21,124,2384
2020-3-22,154,2448
2020-3-23,190,3490
2020-3-24,278,3954
2020-3-25,321,4251
2020-3-26,420,4697
2020-3-27,535,6161
2020-3-28,621,7901
2020-3-29,738,8412
2020-3-30,996,10207
2020-3-31,1113,10681
2020-4-1,1279,11519
2020-4-2,1458,12588
2020-4-3,1514,13018
2020-4-4,1742,14421
2020-4-5,1836,14995
2020-4-6,1953,15676
2020-4-7,2087,16552
2020-4-8,2318,18248
2020-4-9,2456,19315
2020-4-10,2584,20165
2020-4-11,2700,20887
2020-4-12,2836,21775
2020-4-13,2971,22493
2020-4-14,3088,23573
2020-4-15,3211,24444
2020-4-16,3321,25130
2020-4-17,3524,26238
2020-4-18,3626,27125
2020-4-19,3728,27870
2020-4-20,3830,28517
2020-4-21,3937,29118
2020-4-22,4081,29807
2020-4-23,4208,30541
2020-4-24,4398,31794
2020-4-25,4539,32669
2020-4-26,4602,33584
2020-4-27,4690,34123
2020-4-28,4805,35314
2020-4-29,4898,36130
2020-4-30,4998,36988
2020-5-1,5227,38368
2020-5-2,5311,39076
2020-5-3,5423,39843
2020-5-4,5491,40675
2020-5-5,5594,42290
2020-5-6,5663,43612
2020-5-7,5766,45591
2020-5-8,5884,47460
2020-5-9,6028,50083
2020-5-10,6098,52711
2020-5-11,6152,53932
2020-5-12,6311,57764
2020-5-13,6394,60278
2020-5-14,6499,62985
2020-5-15,6614,65532
2020-5-16,6709,67002
2020-5-17,6857,73780
2020-5-18,6906,74926
2020-5-19,7046,80509
2020-5-20,7166,84005
2020-5-21,7255,87127
2020-5-22,7401,92540
2020-5-23,7696,99351
2020-5-24,7770,102511
2020-5-25,7879,106852
2020-5-26,7997,115370
2020-5-27,8113,120446
2020-5-28,8208,122982
2020-5-29,8350,126066
2020-5-30,8495,130037
2020-5-31,8593,133967
2020-6-1,8688,138095
2020-6-2,8830,143261
2020-6-3,8931,147320
2020-6-4,9090,152333
2020-6-5,9266,156841
2020-6-6,9460,162311
2020-6-7,9649,166048
2020-6-8,9786,170217
2020-6-9,10030,173559
2020-6-10,10164,177159
2020-6-11,10399,182855
2020-6-12,10676,188769
2020-6-13,10946,193934
2020-6-14,11173,199438
2020-6-15,11279,205155
2020-6-16,11658,210816
2020-6-17,11842,215768
2020-6-18,12076,218720
2020-6-19,12486,221874
2020-6-20,12931,226032
2020-6-21,13205,228486
2020-6-22,13535,230530
2020-6-23,13997,234529
2020-6-24,14592,238025
2020-6-25,15479,240691
2020-6-26,15860,243422
2020-6-27,16339,246687
2020-6-28,17160,250420
2020-6-29,17894,255123
2020-6-30,18456,259112
2020-7-1,19101,264995
2020-7-2,19733,264995
2020-7-3,20718,272967
2020-7-4,21575,279654
2020-7-5,22418,285279
2020-7-6,22909,288572
2020-7-7,23785,292761
2020-7-8,24301,299352
2020-7-9,24904,304874
2020-7-10,25908,309583
2020-7-11,26838,314395
2020-7-12,27683,319873
2020-7-13,28515,324678
2020-7-14,29619,330561
2020-7-15,30468,333957
2020-7-16,31915,338928
2020-7-17,33295,343712
2020-7-18,34477,348060
2020-7-19,35765,354023
2020-7-20,36713,358708
2020-7-21,37528,361294
2020-7-22,38657,365651
2020-7-23,39919,374217
2020-7-24,40885,380986
2020-7-25,41816,388705
2020-7-26,42834,396088
2020-7-27,43831,400848
2020-7-28,44936,405950
2020-7-29,45806,411579
2020-7-30,46824,416821
2020-7-31,48088,421815
2020-8-1,49074,425146
2020-8-2,50205,431914
2020-8-3,51199,433667
2020-8-4,52179,436908
2020-8-5,52828,438289
2020-8-6,53557,446638
2020-8-7,54533,452465
2020-8-8,55419,457600
2020-8-9,56230,461374
2020-8-10,56972,465220
2020-8-11,57520,467229
2020-8-12,58048,469487
2020-8-13,58650,474494
2020-8-14,59749,478455
2020-8-15,60608,482242
2020-8-16,61305,486158
2020-8-17,61967,489456
2020-8-18,62639,491289
2020-8-19,63028,493498
2020-8-20,63584,497379
2020-8-21,64433,501878
2020-8-22,65069,505057
2020-8-23,65601,508628
2020-8-24,66010,510667
2020-8-25,66413,512869
2020-8-26,66666,514489
2020-8-27,67220,517012
2020-8-28,67852,520699
2020-8-29,68461,524060
2020-8-30,68908,526777
2020-8-31,69228,528693
2020-9-1,69633,530716
2020-9-2,69872,532436
2020-9-3,70223,535045
2020-9-4,70712,538103
2020-9-5,71102,541902
2020-9-6,71610,547872
2020-9-7,71967,550675
2020-9-8,72104,551948
2020-9-9,72258,552616
2020-9-10,72546,554773
2020-9-11,72806,560476
2020-9-12,73220,564682
2020-9-13,73537,568538
2020-9-14,73814,571057
2020-9-15,74040,572496
2020-9-16,74248,575285
2020-9-17,74595,577988
2020-9-18,75096,581505
2020-9-19,75419,585267
2020-9-20,75804,589380
2020-9-21,76036,590756
2020-9-22,76298,592776
2020-9-23,76807,595117
2020-9-24,77197,598291
2020-9-25,77753,603583
2020-9-26,78355,607323
2020-9-27,78728,610228
2020-9-28,79191,613482
2020-9-29,79595,616125
2020-9-30,79980,618116
2020-10-1,80410,621147
2020-10-2,81182,625453
2020-10-3,81708,628502
2020-10-4,82100,631289
2020-10-5,82437,634127
2020-10-6,82916,635816
2020-10-7,83347,637162
2020-10-8,83827,640371
2020-10-9,84593,645641
2020-10-10,85399,649544
2020-10-11,85779,652525
2020-10-12,86348,654820
2020-10-13,86835,656842
2020-10-14,87314,660104
2020-10-15,87969,657375
2020-10-16,88685,658986
2020-10-17,89652,665582
2020-10-18,90261,669247
2020-10-19,90843,672359
2020-10-20,91499,674813
2020-10-21,92064,677549
2020-10-22,92853,681242
2020-10-23,93666,686981
2020-10-24,94812,688895
2020-10-25,95703,692166
2020-10-26,96178,695143
2020-10-27,96908,698013
2020-10-28,97479,700771
2020-10-29,98554,700064
2020-10-30,99786,703799
2020-10-31,100763,707724
2020-11-1,101479,711711
2020-11-2,102114,714319
2020-11-3,103025,716871
2020-11-4,104093,719450
2020-11-5,105360,724213
2020-11-6,106922,728492
2020-11-7,108746,733258
2020-11-8,110022,736226
2020-11-9,110982,739959
2020-11-10,112304,742230
2020-11-11,113411,745908
2020-11-12,114880,750483
2020-11-13,116737,754268
2020-11-14,119006,758832
2020-11-15,120183,762340
2020-11-16,122097,765062
2020-11-17,123794,768698
2020-11-18,125459,770312
2020-11-19,127875,775298
2020-11-20,129714,776680
2020-11-21,131733,787646
2020-11-22,133888,791926
2020-11-23,136227,797361
2020-11-24,139080,804646
2020-11-25,142239,808477
2020-11-26,144781,814412
2020-11-27,146317,819428
2020-11-28,149229,823887
2020-11-29,150527,824769
2020-11-30,152169,827680
2020-12-1,154867,831889
2020-12-2,156996,834431
2020-12-3,159532,839656
2020-12-4,162434,842221
2020-12-5,165628,849268
2020-12-6,168139,853647
2020-12-7,170587,857644
2020-12-8,173281,859849
2020-12-9,176334,863608
2020-12-10,178527,867319
2020-12-11,181310,867542
2020-12-12,183951,872669
2020-12-13,186833,876680
2020-12-14,189412,881008
2020-12-15,191732,886873
2020-12-16,194098,890472
2020-12-17,196379,893998
2020-12-18,199257,897585
2020-12-19,201858,900345
2020-12-20,203945,902521
2020-12-21,205884,908046
2020-12-22,206974,910723
2020-12-23,209962,914225
2020-12-24,212211,920054
2020-12-25,214064,922283
2020-12-26,215653,927053
2020-12-27,217509,928779
2020-12-28,218377,931409
2020-12-29,220124,932890
2020-12-30,222594,935060
2020-12-31,224731,938024
2021-1-1,227046,940813
2021-1-2,228871,945025
2021-1-3,231618,947262
2021-1-4,233032,970294
2021-1-5,235455,972862
2021-1-6,237393,976541
2021-1-7,240795,980076
2021-1-8,243661,984742
2021-1-9,246309,987550
2021-1-10,248568,990596
2021-1-11,250249,993573
2021-1-12,252842,997488
2021-1-13,253985,1001181
2021-1-14,256172,1005419
2021-1-15,258050,1009350
2021-1-16,260090,1012582
2021-1-17,261573,1015394
2021-1-18,262794,1017718
2021-1-19,263972,1019197
2021-1-20,265143,1022012
2021-1-21,266343,1027324
2021-1-22,268212,1030124
2021-1-23,269713,1033114
2021-1-24,270907,1035329
