Date,NYDATA.Positive,NYDATA.Death
2020-3-2,0,0
2020-3-3,1,0
2020-3-4,1,0
2020-3-5,3,0
2020-3-6,25,0
2020-3-7,36,0
2020-3-8,60,0
2020-3-9,88,0
2020-3-10,151,0
2020-3-11,195,0
2020-3-12,251,0
2020-3-13,353,0
2020-3-14,517,0
2020-3-15,648,3
2020-3-16,942,7
2020-3-17,1374,7
2020-3-18,2383,12
2020-3-19,4152,12
2020-3-20,7102,35
2020-3-21,10356,44
2020-3-22,15168,114
2020-3-23,20875,114
2020-3-24,25665,210
2020-3-25,30810,285
2020-3-26,37258,385
2020-3-27,44637,519
2020-3-28,52318,728
2020-3-29,59513,965
2020-3-30,66497,1218
2020-3-31,75795,1550
2020-4-1,83712,1941
2020-4-2,92381,2373
2020-4-3,102863,2935
2020-4-4,113704,3565
2020-4-5,122031,4159
2020-4-6,130689,4758
2020-4-7,138863,5489
2020-4-8,149316,6268
2020-4-9,159937,7067
2020-4-10,170512,7844
2020-4-11,180458,8627
2020-4-12,188694,9385
2020-4-13,195031,10056
2020-4-14,202208,10834
2020-4-15,213779,11586
2020-4-16,222284,12192
2020-4-17,229642,12822
2020-4-18,236732,13362
2020-4-19,242786,13869
2020-4-20,247512,14347
2020-4-21,251690,14828
2020-4-22,257216,15302
2020-4-23,263460,15740
2020-4-24,271590,16162
2020-4-25,282143,16599
2020-4-26,288045,16966
2020-4-27,291996,17303
2020-4-28,295106,17638
2020-4-29,299691,18015
2020-4-30,304372,18321
2020-5-1,308314,18610
2020-5-2,312977,18909
2020-5-3,316415,19189
2020-5-4,318953,19415
2020-5-5,321192,19645
2020-5-6,323978,19877
2020-5-7,327469,20828
2020-5-8,330407,21045
2020-5-9,333122,21271
2020-5-10,335395,21478
2020-5-11,337055,21640
2020-5-12,338485,21845
2020-5-13,340661,22013
2020-5-14,343051,22170
2020-5-15,345813,22304
2020-5-16,348232,22478
2020-5-17,350121,22619
2020-5-18,351371,22729
2020-5-19,352845,22843
2020-5-20,354370,22976
2020-5-21,356458,23083
2020-5-22,358154,23195
2020-5-23,359926,23282
2020-5-24,361515,23391
2020-5-25,362764,23488
2020-5-26,363836,23564
2020-5-27,364965,23643
2020-5-28,366733,23722
2020-5-29,368284,23780
2020-5-30,369660,23848
2020-5-31,370770,23905
2020-6-1,371711,23959
2020-6-2,373040,24023
2020-6-3,374085,24079
2020-6-4,375133,24133
2020-6-5,376208,24175
2020-6-6,377316,24212
2020-6-7,378097,24259
2020-6-8,378799,24299
2020-6-9,379482,24348
2020-6-10,380156,24404
2020-6-11,380892,24442
2020-6-12,381714,24495
2020-6-13,382630,24527
2020-6-14,383324,24551
2020-6-15,383944,24579
2020-6-16,384575,24608
2020-6-17,385142,24629
2020-6-18,385760,24661
2020-6-19,386556,24686
2020-6-20,387272,24710
2020-6-21,387936,24725
2020-6-22,388488,24739
2020-6-23,389085,24766
2020-6-24,389666,24782
2020-6-25,390415,24800
2020-6-26,391220,24814
2020-6-27,391923,24830
2020-6-28,392539,24835
2020-6-29,392930,24842
2020-6-30,393454,24855
2020-7-1,394079,24866
2020-7-2,394954,24877
2020-7-3,395872,24885
2020-7-4,396598,24896
2020-7-5,397131,24904
2020-7-6,397649,24913
2020-7-7,398237,24924
2020-7-8,398929,24944
2020-7-9,399513,24959
2020-7-10,400299,24968
2020-7-11,401029,24974
2020-7-12,401706,24979
2020-7-13,402263,24989
2020-7-14,403175,24994
