Date,OHDATA.Positive,OHDATA.Hospitalized
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,3,0
2020-3-10,3,0
2020-3-11,4,0
2020-3-12,5,0
2020-3-13,13,0
2020-3-14,13,0
2020-3-15,36,0
2020-3-16,50,0
2020-3-17,67,0
2020-3-18,88,0
2020-3-19,119,0
2020-3-20,169,0
2020-3-21,247,58
2020-3-22,351,83
2020-3-23,442,104
2020-3-24,564,145
2020-3-25,704,182
2020-3-26,867,223
2020-3-27,1137,276
2020-3-28,1406,344
2020-3-29,1653,403
2020-3-30,1933,475
2020-3-31,2199,585
2020-4-1,2547,679
2020-4-2,2902,802
2020-4-3,3312,895
2020-4-4,3739,1006
2020-4-5,4043,1104
2020-4-6,4450,1214
2020-4-7,4782,1354
2020-4-8,5148,1495
2020-4-9,5512,1612
2020-4-10,5878,1755
2020-4-11,6250,1859
2020-4-12,6604,1948
2020-4-13,6975,2033
2020-4-14,7280,2156
2020-4-15,7791,2237
2020-4-16,8414,2331
2020-4-17,9107,2424
2020-4-18,10222,2519
2020-4-19,11602,2565
2020-4-20,12919,2653
2020-4-21,13725,2779
2020-4-22,14117,2882
2020-4-23,14694,2960
2020-4-24,15169,3053
2020-4-25,15587,3115
2020-4-26,15963,3178
2020-4-27,16325,3232
2020-4-28,16769,3340
2020-4-29,17303,3421
2020-4-30,18027,3533
2020-5-1,18743,3634
2020-5-2,19335,3712
2020-5-3,19914,3769
2020-5-4,20474,3809
2020-5-5,20969,3956
2020-5-6,21576,4052
2020-5-7,22131,4140
2020-5-8,23016,4218
2020-5-9,23697,4300
2020-5-10,24081,4351
2020-5-11,24777,4413
2020-5-12,25250,4539
2020-5-13,25721,4618
2020-5-14,26357,4718
2020-5-15,26954,4791
2020-5-16,27474,4870
2020-5-17,27923,4921
2020-5-18,28454,4998
2020-5-19,28952,5117
2020-5-20,29436,5198
2020-5-21,30167,5295
2020-5-22,30794,5379
2020-5-23,31408,5437
2020-5-24,31911,5476
2020-5-25,32477,5511
2020-5-26,33006,5579
2020-5-27,33439,5700
2020-5-28,33915,5811
2020-5-29,34566,5947
2020-5-30,35034,6011
2020-5-31,35513,6049
2020-6-1,35984,6112
2020-6-2,36350,6176
2020-6-3,36792,6251
2020-6-4,37282,6312
2020-6-5,37758,6385
2020-6-6,38111,6460
2020-6-7,38476,6497
2020-6-8,38837,6550
2020-6-9,39162,6620
2020-6-10,39575,6693
2020-6-11,40004,6753
2020-6-12,40424,6814
2020-6-13,40848,6864
2020-6-14,41148,6895
2020-6-15,41576,6948
2020-6-16,42010,7007
2020-6-17,42422,7051
2020-6-18,43122,7104
2020-6-19,43731,7167
2020-6-20,44262,7201
2020-6-21,44808,7242
2020-6-22,45537,7292
2020-6-23,46127,7379
2020-6-24,46759,7447
2020-6-25,47651,7502
2020-6-26,48638,7570
2020-6-27,49455,7624
2020-6-28,50309,7681
2020-6-29,51046,7746
2020-6-30,51789,7839
2020-7-1,52865,7911
2020-7-2,54166,8038
2020-7-3,55257,8084
2020-7-4,56183,8111
2020-7-5,57151,8172
2020-7-6,57956,8249
2020-7-7,58904,8383
2020-7-8,60181,8489
2020-7-9,61331,8570
2020-7-10,62856,8701
2020-7-11,64214,8770
2020-7-12,65592,8842
2020-7-13,66853,8915
2020-7-14,67995,9049
2020-7-15,69311,9209
2020-7-16,70601,9324
2020-7-17,72280,9445
2020-7-18,73822,9513
2020-7-19,74932,9555
2020-7-20,76168,9610
2020-7-21,77215,9736
2020-7-22,78742,9864
2020-7-23,80186,9968
2020-7-24,81746,10072
2020-7-25,83184,10145
2020-7-26,84073,10199
2020-7-27,85177,10285
2020-7-28,86497,10425
2020-7-29,87893,10553
2020-7-30,89626,10678
2020-7-31,91159,10790
2020-8-1,92087,10857
2020-8-2,93031,10900
2020-8-3,93963,10992
2020-8-4,95106,11119
2020-8-5,96305,11231
2020-8-6,97471,11366
2020-8-7,98675,11447
2020-8-8,99969,11516
2020-8-9,100848,11565
2020-8-10,101731,11629
2020-8-11,102826,11760
2020-8-12,104248,11901
2020-8-13,105426,12023
2020-8-14,106557,12128
2020-8-15,107674,12210
2020-8-16,108287,12236
2020-8-17,109062,12319
2020-8-18,109923,12436
2020-8-19,110881,12529
2020-8-20,112003,12615
2020-8-21,113046,12719
2020-8-22,114165,12778
2020-8-23,114802,12800
2020-8-24,115651,12859
2020-8-25,116495,12956
2020-8-26,117584,13043
2020-8-27,118828,13150
2020-8-28,120124,13221
2020-8-29,121340,13288
2020-8-30,122262,13317
2020-8-31,123157,13376
2020-9-1,124610,13479
2020-9-2,125767,13574
2020-9-3,127112,13663
2020-9-4,128444,13731
2020-9-5,129785,13808
2020-9-6,130558,13841
2020-9-7,131336,13887
2020-9-8,131992,13967
2020-9-9,132965,14083
2020-9-10,134086,14164
2020-9-11,135326,14236
2020-9-12,136568,14284
2020-9-13,137405,14314
2020-9-14,138484,14378
2020-9-15,139485,14481
2020-9-16,140518,14560
2020-9-17,141585,14625
2020-9-18,142596,14687
2020-9-19,143547,14750
2020-9-20,144309,14773
2020-9-21,145165,14829
2020-9-22,145850,14899
2020-9-23,146753,14977
2020-9-24,147744,15051
2020-9-25,148894,15127
2020-9-26,150009,15185
2020-9-27,150809,15216
2020-9-28,151802,15307
2020-9-29,152907,15413
2020-9-30,153987,15516
2020-10-1,155314,15606
2020-10-2,156809,15688
2020-10-3,157966,15735
2020-10-4,158907,15767
2020-10-5,159964,15840
2020-10-6,161299,15972
2020-10-7,162723,16091
2020-10-8,164262,16200
2020-10-9,166102,16301
2020-10-10,167458,16355
2020-10-11,168749,16399
2020-10-12,170179,16442
2020-10-13,171626,16565
2020-10-14,173665,16716
2020-10-15,175843,16824
2020-10-16,177991,16910
2020-10-17,180225,17009
2020-10-18,181787,17061
2020-10-19,183624,17172
2020-10-20,185639,17388
2020-10-21,188005,17523
2020-10-22,190430,17682
2020-10-23,192948,17866
2020-10-24,195806,18006
2020-10-25,198115,18095
2020-10-26,200231,18235
2020-10-27,202740,18433
2020-10-28,205347,18606
2020-10-29,208937,18800
2020-10-30,212782,18969
2020-10-31,215697,19132
2020-11-1,219000,19220
2020-11-2,221909,19402
2020-11-3,226138,19615
2020-11-4,230209,19801
2020-11-5,235170,20015
2020-11-6,240178,20246
2020-11-7,245727,20395
2020-11-8,250268,20497
2020-11-9,254974,20651
2020-11-10,261482,21037
2020-11-11,267356,21290
2020-11-12,274457,21558
2020-11-13,282528,21856
2020-11-14,290243,22076
2020-11-15,298096,22265
2020-11-16,305364,22478
2020-11-17,312443,22846
2020-11-18,318828,23217
2020-11-19,326615,23560
2020-11-20,335423,23958
